Species_name	Collection_ID	Specimen_ID	Voucher_information	Specimen_URL
Alvesia clerodendroides	K	-	Bidgood, S., Leliyo, G. & Vollesen, K. 4547	
Alvimia lancifolia	K	K000018871	Calderón, C.E. 2467	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000018871
Alyogyne hakeifolia	MEL	MEL 2477188A	Murfet, D.E. 9443	
Alysicarpus muelleri	MEL	MEL 2425121A	Cuff, N.J. 654	
Alyssoides utriculata	-	-	-	
Alyssopsis mollis	-	-	-	
Alyxia buxifolia	K	-	Sweedman, L., Smith, R.J.;  Hopper, S.D. 202	
Alzatea verticillata	K	-	Brummitt, R.K. 21114	
Amaioua pedicellata	GB	-	Persson & Antonelli 862	
Amalocalyx microlobus	E	E	D.J.Middleton & P.Triboun 4829	
Amana edulis	K	K001393009	Chase, M.W. 2397	
Amanoa guianensis	K	K000648543	Ribeiro, J.E.L.S.; Vicentini, A.; Pereira, E.C.; Nascimento, J.R. 1274	
Amaranthus cruentus	-	-	-	
Amaranthus hypochondriacus	-	-	-	
Amaranthus retroflexus	-	-	-	
Amaryllis belladonna	K	-	Chase, M.W. 612	
Amaryllis belladonna	-	-	-	
Ambavia capuronii	K	K001393230	Trigui, S.M.; Razanajatovo, M.H.; Ramandimbimanana, S.D. SMT 519	
Ambelania acida	-	-	-	
Ambelania acida	K	K001334222	Pennington; Johnson 457	
Ambilobea madagascariensis	K	K001275408	Ramandimbimanana, S.D.; Randimbiarson, C.H. SDR 246	
Amblyanthopsis bhotanica	K	K001208634	Tessier-Yandell 143	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001208634
Ambongia perrieri	K	K001295759	Du Puy, B.; Du Puy, D.; Raharilala, J. s.n. 	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001295759
Amborella trichopoda	-	-	-	
Amborella trichopoda	-	-	-	
Amborella trichopoda	K	-	Qiu 97123	
Ambrosia artemisiifolia	-	-	-	
Ambrosina bassii	K	-	Chase, M.W. 12339	
Amelanchier canadensis	-	-	-	
Amelichloa ambigua	K	-	Proyecto Ventaria 614	
Amellus sp.	K	-	Forest, F. & Manning, J.C. 531	
Amesiodendron chinense	BM	-	Buerki, S. 117	
Amethystea caerulea	-	-	-	
Amherstia nobilis	K	-	RBG Kew Living Collection 1987-8260	
Amicia andicola	K	K000556941	Wood, J.R.I 8092	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000556941
Amischotolype hispida	K	-	RBG Kew Living Collection 2001-3010	
Ammandra decasperma	K	-	Dransfield, J. 4869	
Ammannia coccinea	K	-	Sanchez, M. 14	
Ammannia grayi	MO	-	Graham, S.; Carr, W.R. 1161	
Ammobium alatum	K	-	RBG Kew Living Collection 1995-4253	
Ammocharis coranica	K	-	Maurin, O. 4403	
Ammodaucus leucotrichus	K	-	Bramwell et al. 575	
Ammopiptanthus nanus	-	-	-	
Ammoselinum popei	K	K000994189	Barkley, F.A. 14322	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000994189
Amomum subulatum	-	-	-	
Amomyrtella guilii	K	-	Landrum, L.R. 12251	
Amomyrtus meli	K	-	RBG Kew Living Collection 1996-1083	
Amorimia rigida	K	K001227993	Souza, V.C.; Sano, P.T; Roque, N.; Harley, R.; Sakuragui, C.M. 5254	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001227993
Amorpha fruticosa	K	-	Christenhusz, M.J.M., Chase,M. & Fay,M. 6573	
Amorphophallus ankarana	K	-	Chase, M.W. 22105	
Amorphophallus longituberosus	K	-	Chase, M.W. 22106	
Amorphospermum antilogum	K	-	Chase, M.W. 2063	
Ampalis mauritiana	K	K000618250	Hoffmann, P.; Ralimanana, H.; Bacar Sifar, A. 438	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000618250
Ampelocalamus actinotrichus	-	-	-	
Ampelocalamus luodianensis	KUN	-	Guo Zhen-Hua 7.0	
Ampelocalamus naibunensis	-	-	-	
Ampelocalamus scandens	-	-	-	
Ampelocera edentula	K	K000579883	Sasaki, D.; Pica, J.H.; Henicka, G.S.; Santos, S.K.F.; Yamaciro, T. 2353	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000579883
Ampelocissus africana	K	K000801166	Fay, J.M. 5784	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000801166
Ampelocissus martini	K	-	ATB49	
Ampelocissus spicifer	K	K000801167	Rafidah, A.R.; with Mohd. Nazri, A. 51729	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000801167
Ampelocissus thyrsiflora	K	-	Chase, M.W. 1386	
Ampelodesmos mauritanicus	-	-	-	
Ampelopsis glandulosa	K	-	Chase, M.W. 848	
Ampelosicyos humblotii	TUM	-	Mitchell, T. C., Schaefer, H.  7	
Ampelozizyphus amazonicus	K	-	Vilhena & Taylor 1004	
Amphiblemma cymosum	K	-	Maurin, O. 4368	
Amphibolia rupis-arcuatae	NBG	-	LD63	
Amphibolis antarctica	K	K001275070	den Hartog, C. 65	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275070
Amphibromus neesii	MEL	MEL 2346307A	Walsh, N.G. 7285	
Amphicarpaea edgeworthii	-	-	-	
Amphidasya ambigua	GB	-	Persson et al. 1886	
Amphiglossa callunoides	NBG	-	Bergh, N.G. 1452	
Amphiglossa sp.	K	-	Forest, F. 641	
Amphilophium paniculatum	K	K000542774	Wood, J.R.I. 8254	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000542774
Amphimas pterocarpoides	K	K000556946	Daramola, B.O. 115	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000556946
Amphineurion marginatum	-	-	-	
Amphipogon strictus	PERTH	PERTH 09051082	Macfarlane, T.D. 6901	
Amphipterygium adstringens	K	-	Pendry 845	
Amphiscirpus nevadensis	K	-	Charpin & Novara AC 20572	
Amphitecna macrophylla	K	K001395048	Chase, M.W. 15832	
Amphithalea sp.	UVSC	-	Muasya et al 6865	
Amphorocalyx latifolius	CAS	-	Letsara, R.K. 983	
Amphorocalyx rupestris	K	K001275147	Labat, J.N.; Haevermans, T.; Rabeonantoandro, J.; Cook, B. 3048	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275147
Amphorogyne spicata	K	K001275650	Stauffer, H.U.; Blanchon, J.P. 5711	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275650
Amsinckia grandiflora	-	-	-	
Amsonia hubrichtii	K	-	Chase, M.W. 19252	
Amydrium humile	K	-	Chase, M.W. 9974	
Amyema sp.	K	-	Johns, R.J. 9576	
Amylotheca dictyophleba	K	K001393241	Forster, P.I.; Booth, R.; Jago, R. PIF26509	
Amyrea humbertii	K	-	Gillespie et al 10792	
Amyris elemifera	GOET	-	Breckle 10844	
Amyxa pluricornis	K	K001275098	Forma, L.L.; Blewett, J.W.J. 871	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275098
Anabasis articulata	-	-	-	
Anacampseros arachnoides	K	-	Maurin, O. 4373	
Anacampseros coahuilensis	ZSS	90 1259 /b	de Vos, J.M. s.n.; 90 1259 /b	
Anacampseros kurtzii	ZSS	10 0046 /0	de Vos, J.M. s.n.; 10 0046 /0	
Anacampseros vulcanensis	ZSS	90 4035 /0	de Vos, J.M. s.n.; 90 4035 /0	
Anacamptis pyramidalis	K	K000416218	Cooper, T. 1090	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000416218
Anacardium occidentale	CNS	CNS131081	McKenna, S.G. 363	
Anacardium occidentale	-	-	-	
Anacyclus clavatus	BC	-	Hidalgo, O. 270	
Anadelphia leptocoma	K	K000743594	Larridon, I. IL52	
Anadendrum microstachyum	K	-	Chase, M.W. 9983	
Ananas comosus	-	-	-	
Anaphalis margaritacea	K	-	RBG Kew Living Collection 1979-4967	
Anaphyllopsis americana	K	-	RBG Kew DNA Bank 16501	
Anarrhinum bellidifolium	-	-	-	
Anarthria prolifera	K	-	Brummitt 21337	
Anarthrophyllum patagonicum	K	-	Fortunato et al. 5477	
Anastatica hierochuntica	-	-	-	
Anastrabe integerrima	K	K001275870	Daniel, T.F. 9323	
Anastraphia ilicifolia	BC	-	Christenhusz, M.J.M. FTBG-II-2018-3	
Anathallis barbulata	L	-	AK5187	
Anathallis funerea	K	-	O.A. Pérez-Escobar P17	
Anaxagorea brachycarpa	N	-	Couvreur, T. S1125	
Anaxagorea crassipetala	L	-	Maas, P.J.M. 9408	
Anaxeton arborescens	K	-	Balele 9b	
Anchusa capensis	-	-	-	
Anchusa officinalis	-	-	-	
Ancistrachne maidenii	BRI	AQ681893	Coveny, R.G. 17686	
Ancistragrostis uncinioides	K	K001418219	Craven, L.A. 3006	
Ancistrocarpus densispinosus	K	K001340990	Wieringa 4577	
Ancistrocladus abbreviatus	-	-	-	
Ancistrocladus korupensis	K	-	Gereau et al. 5203	
Ancistrotropis firmula	K	K000931269	Ratter, J.A.; Fonsêca, S.G.; Castro, R.A. 2253	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000931269
Ancylobothrys amoena	UEC	-	Simoes s.n. 	
Anderbergia vlokii	BC	-	Vlok, J.H.J. & Schutte, Al. s.n. 	
Andersonia sprengelioides	PERTH	PERTH 8732280	Barrett, S. 2207	
Andesanthus lepidotus	USM	-	Michelangeli, F. A. 1701	
Andicolea ilinissae	QCA	-	Morvoz L. 368	
Andicolea thuyoides	QCA	-	Irazabal, R.J. 1028	
Andinia lappacea	K	-	AK 5723	
Andira vermifuga	K	-	Pennington & Brito 257	
Andrachne telephioides	K	K001382208	Zarrei, M. 607	
Andreadoxa flava	K	K001173105	dos Santos, T.S. et al. 4588	
Andria sp.	BRI	-	Forster, P. 29938	
Androcalva fragifolia	PERTH	PERTH 9142568	Sole, A. AS 267	
Androcalva loxophylla	K	K001371146	Everist 7437	
Androcalymma glabrifolium	K	K000835116	Krukoff, B.A. 8827	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000835116
Andrographis paniculata	K	K001400402	Tadong, D. 902	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001400402
Andromeda polifolia	K	-	Chase, M.W. 867	
Andropogon munroi	-	-	-	
Andropogon virginicus	-	-	-	
Andropterum stolzii	K	K001418256	Lisowski, S. 602	
Androsace sarmentosa subsp. primuloides	K	K001208633	Davies, N.M.J.; Grall, A. 59	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001208633
Androsace vitaliana	K	K001400107	Verdcourt, B. 4461A	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001400107
Androstoma empetrifolium	K	K001325310	Sykes, W.R. 285915	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001325310
Andryala integrifolia	BC	-	Hidalgo, O. 287	
Anechites nerium	K	K001488535	Cornejo, X.; Bonifaz, C. 4826	
Aneilema aequinoctiale	K	-	RBG Kew Living Collection 1973-4964	
Anelsonia eurycarpa	-	-	-	
Anemocarpa saxatilis	K	-	DEA 11878	
Anemoclema glaucifolium	-	-	-	
Anemonastrum flaccidum	-	-	-	
Anemonastrum polyanthes	K	K001275748	Billiet, F.; Leonard, J. 6743	
Anemone patens	-	-	-	
Anemonella thalictroides	K	-	Maurin, O.; Freeth, T. 4431	
Anemonella thalictroides	-	-	-	
Anemopaegma arvense	K	K000501978	Aparecida da Silva, M. 4494	
Anemopsis californica	K	-	Chase, M.W. 38702	
Anemotrochus eggersii	FR	FR	Mangelsdorff RMC 387	
Anetanthus gracilis	K	K001208567	Clark, J.L. 8160	
Anethum graveolens	MSB	-	LEB-368	
Aneulophus africanus	K	K000617255	Moutsambote, J.M.; Pollard, B.J.; Nzita, S.F.; Weber, O.; Nsongola, G. 6313	
Angadenia berteroi	K	K000993600	Eggers 1686	
Angelesia splendens	K	-	Chase, M.W. 2120	
Angelica archangelica	-	-	-	
Angelica decursiva	K	K001382001	Taquet 853	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001382001
Angelonia angustifolia	-	-	-	
Anginon difforme	K	K000994186	Bayliss, R.D.A. 6078	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000994186
Angkalanthus oligophylla	K	K001295750	Miller, A.G.; Bazara'a, M.; Guarino, L.; Kassim, N. 10292	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001295750
Angophora euryphylla	K	K000065806	Johnstone, R. 1544	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000065806
Angostura bracteata	K	-	Pirani et al. 3570	
Angostylis longifolia	K	K000600755	Ducke, A. 23528	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000600755
Angraecum bancoense	K	K000546415	Jongking, C.C.H. 10653	
Angraecum eburneum	K	-	RBG Kew Living Collection 1965-23109	
Angraecum germinyanum	K	K000546416	Labat, J-N.; Yaha, L.; Ali Mlazahabe, M. 3086	
Anguloa uniflora	-	-	-	
Angylocalyx talbotii	K	K000086005	Tchouto	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000086005
Anigozanthos bicolor	K	-	Smith, R.J.;  Hopper, S.D. 239	
Anisacanthus quadrifidus	-	-	-	
Anisadenia saxatilis	K	-	AGSES 331	
Aniseia martinicensis	DNA	DNA D0146230	Risler, J.A. 816	
Aniseia martinicensis	K	K001275510	Acevedo-Rodriquez, P.; de Granville, J.-J.; Hollenberg, L.; Joly, A.; Avril, C. 6165	
Anisodus sp.	E	-	Chungtien, Lijiang & Dali Expedition  227	
Anisomeria littoralis	-	-	-	
Anisopappus anemonifolius	K	-	Goldblatt, P. & Schatz, G.E. 8977	
Anisophyllea cinnamomoides	K	-	Chase, M.W. 17410	
Anisopogon avenaceus	TCD	-	Jacobs, S. 9471	
Anisoptera marginata	K	-	Chase, M.W. 2486	
Anisopus mannii	K	K000993546	Akpabla, G.K. 1114	
Anisosciadium isosciadium	K	-	Boulos, L;  Cope, T.A. 17617	
Anisosepalum alboviolaceum	K	-	Champluvier, D. 5295	
Anisostachya bojeri	K	K001446059	Decay, M.R. 10079	
Anisostachya tenella	K	K001243667	Molmou, D. 1021	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001243667
Anisotes longistrobus	K	-	Reeves, G. 43	
Anisotes pulchellus	K	K001295739	Du Puy, B.; Du Puy, D.; Labat, J.-N.; Rakouth, B. s.n. 	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001295739
Anisotes trisulcus	K	K001295757	Cope, T.; Murtland, R. 192	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001295757
Anisotoma cordifolia	K	K	M. Crosley 6869	
Anisotome haastii	K	-	Melville, R. et al. 6014	
Anna mollifolia	-	-	-	
Anna submontana	-	-	-	
Annea laxiflora	K	-	R. M'Boungou et al. 398	
Annesijoa novoguineensis	K	-	Ridsdale, Galore 33424	
Anneslea fragrans	-	-	-	
Annesorhiza altiscapa	K	-	Goldblatt, P.;  Porter, L. 12423	
Annickia ambigua	L	-	Couvreur, T.L.P. 788	
Annona glabra	L	-	Chatrou, L.W. 467	
Annona muricata	-	-	-	
Anoda paniculata	K	K001259174	Amith, J.; Hall, G. 642	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001259174
Anodendron affine	K	K	Lei, C. I. 390	
Anodopetalum biglandulosum	K	-	Moscal, A. 4766	
Anodopetalum sp.	K	K001275058	Barnes, R.; Bradford, K. 894	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275058
Anoectochilus roxburghii	-	-	-	
Anomospermum chloranthum	K	K001275708	Sabatier, D.; Prevost, M.-F. 5242	
Anonidium floribundum	L	-	Couvreur, T.L.P. 583	
Anopterus glandulosus	HO	HO 577813	de Salas, M.F. & Baker, M.L. 1225	
Anredera cordifolia	-	-	-	
Antennaria carpatica	BC	-	Douzet, R. FR-7-VII-2017-8	
Antennaria dioica	K	-	Pegoraro, L. & al. FR669	
Anthaenantiopsis rojasiana	SI	No barcode availble	Zuloaga, F.O. 6747	
Anthelepis paludosa	-	-	-	
Anthemis arvensis	BC	-	Hidalgo, O. 611	
Anthenantia lanata	ICN	ICN 169420	Longhi-Wagner, H.M. 9755	
Anthephora hermaphrodita	TCD	-	Hodkinson, T.R. 553	
Anthephora pubescens	-	-	-	
Anthericopsis sepalosa	K	K001275396	Brown, E.S. s.n. 	
Anthericum liliago	K	-	Chase, M.W. 515	
Antherotoma naudinii	CAS	-	Daniel, T. 11101	
Anthocarapa nitidula	CNS	CNS131163	Costion, C. 1335	
Anthocercis sp.	K	-	H. Stace	
Anthochlamys multinervis	KAS	-	Freitag, H. 13.979	
Anthochortus ecklonii	K	K001275898	Esterhuysen, E. 28645	
Anthodon decussatum	K	K001138701	Vicentini, A.; Pereira, E. da C. 1137	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001138701
Anthonotha fragrans	-	-	-	
Anthopteropsis sp.	K	K001325311	Clark, J.L.; Nicolalde, F.; Hall, R. 7402	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001325311
Anthorrhiza sp.	K	-	Johns, R.J. 9760	
Anthosachne scabra	PERTH	PERTH 09051015	Macfarlane, T.D. 6885	
Anthosachne scabra	AD	AD AD145474	L.M.B. Heard, N.R. Neagle BS107-2512	
Anthospermum sp.	K	-	Davis, A.P. 1026	
Anthotroche sp.	NT	-	Haegi  1131	
Anthoxanthum odoratum	-	-	-	
Anthriscus sylvestris	K	-	Fay, M.F. 205	
Anthurium amnicola	-	-	-	
Anthurium formosum	CUVC	CUVC	OP_1904	
Anthurium gracile	CUVC	CUVC	Haigh, A. 286	
Anthurium recavum	CUVC	CUVC	AZ_2321	
Anthurium scandens	CUVC	CUVC	Haigh, A. 284	
Anthyllis polycephala	-	-	-	
Antiaris toxicaria	K	K000618256	Nooteboom 5995	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000618256
Antiaropsis decipiens	K	K000618255	Weiblen, G.D.; Montgomery, R.; Isua, B.; Molem, K. GW1865	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000618255
Anticharis glandulosa	-	-	-	
Anticlea elegans	K	-	Chase, M.W. & Fay, M. 14583	
Anticoryne ovalifolia	PERTH	PERTH 8991758	Cochrane, J.A 8396	
Antidaphne viscoidea	K	K001275651	Cuello, N.; Licata, A., Farreras, J., Escobar, C.O.T. 1014	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275651
Antidesma alexiteria	K	-	Kathriarachchi, H.S., Hoffmann, P., Galster, A. 62	
Antidesma bunius	NSW	NSW1079228	P. Lu-Irving 20-Jan	
Antigonon leptopus	-	-	-	
Antimima sp.	K	-	Chase, M.W. 34722	
Antiotrema dunnianum	K	-	RBG Kew DNA Bank 36031	
Antiphiona pinnatisecta	K	-	Tholkes, T.  HK1614	
Antirrhinum braun-blanquetii	-	-	-	
Antirrhinum majus	-	-	-	
Antistrophe solanoides	K	K000606735	Kochummen, K.M. FRI 023133	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000606735
Antonia ovata	K	K001062352	Fonseca, M.L.; Mendonça, R.C.; Oliveira, F.C.A.; Pequeno, S.A.; Araújo, G.P. 5913	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001062352
Antopetitia abyssinica	K	K000338543	Etuge, M. 3465	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000338543
Anubias barteri	K	-	-	
Anulocaulis annulatus	-	-	-	
Anulocaulis leiosolenus	-	-	-	
Anvillea garcinii	BC	-	Hidalgo, O. JBB-IV-2017-1	
Aoranthe cladantha	GB	-	Andersson & Nilsson 2313	
Aosa grandis	-	-	-	
Aosa parviflora	-	-	-	
Aotus ericoides	MEL	MEL 2389892A	Narunajeewa, N.G. 1235	
Apalochlamys spectabilis	CANB	CANB 592579	Orchard, A.E. 6155	
Aparisthmium cordatum	K	-	Chagala, B.G.;  Hualsz, A.S. 800	
Apatophyllum teretifolium	BRI	-	Foster, P.I. 26153	
Apeiba schomburgkii	K	K001340983	Sandwith 1874	
Apera spica-venti	K	K000696412	Sheahan, M-C. MCS303	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000696412
Aphanactis jamesoniana	QCA	-	Salgado, S. 1702	
Aphanamixis polystachya	K	-	Middleton, D.J. et al. 1329	
Aphandra natalia	K	-	Baker, W.J. 985	
Aphanocalyx microphyllus	K	-	Wieringa 3103	
Aphanocarpus steyermarkii	K	K000318764	Wurdack 34173	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000318764
Aphanopetalum resinosum	K	K001275479	Coveny, R. 9992	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001275479
Aphanopetalum resinosum	-	-	-	
Aphanopleura breviseta	K	-	Rechinger 46085	
Aphelandra aurantiaca	-	-	-	
Aphelandra tenuiflora	K	-	RBG Kew Living Collection 2015-412	
Aphelia brizula	K	-	Hopper, S.D. 8532	
Aphloia theiformis	K	-	REU 10012	
Aphragmus involucratus	-	-	-	
Aphragmus obscurus	A	-	Stainton, Sykes, & Williams 6131	
Aphyllocladus ephedroides	BA	BA94625	Palazzesi, L. s.n. 	
Aphyllodium parvifolium	K	K000556916	Barrett, R.L.; Kenneally, K.F.; Willing, T. s.n.; 32076	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000556916
Aphyllon epigalium	-	-	-	
Aphyllorchis queenslandica	CBG	CBG 9306446	L.J.Roberts CHB495	
Apiastrum angustifolium	MSB	-	ZSSD-0280	
Apinagia fucoides	K	-	L.Y.S.Aona & M.C.E. Amaral 9801	
Apios americana	-	-	-	
Apium graveolens	K	-	Chase, M.W. 2523	
Apluda mutica	CNS	CNS 135457.1	Waterhouse, B.M. 7832	
Apoballis mutata	LYJB	80591	Scerberich, D. 687	
Apochiton burttii	US	US01941189	Peterson, P.M. 24163	
Apochloa poliophylla	ICN	ICN174167	Longhi-Wagner, H.M. 10359	
Apoclada simplex	K	K001418214	Clark, L.; de Oliveira, W. 898	
Apocopis intermedius	BKF	-	Arthan, W. 391	
Apocynum androsaemifolium	-	-	-	
Apocynum venetum	K	-	Prikhodko. S. 77	
Apodanthera argentea	K	-	Giordano, L.C. 2440	
Apodanthera villosa	K	-	Harley, R.M 22833	
Apodanthes caseariae	M	-	Galdames, C. 7260	
Apodasmia brownii	NSW	NSW882102	B.G. Briggs 10144	
Apodicarpum ikenoi	K	K000544159	Ohwi, J. 227	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000544159
Apodolirion cedarbergense	K	-	RBG Kew DNA Bank 26879	
Apodostigma pallens	K	-	Friis et al. 3994	
Apodytes dimidiata	-	-	-	
Apodytes dimidiata	JRAU	-	Maurin, O. 3186	
Aponogeton abyssinicus	-	-	-	
Aponogeton distachyos	K	-	M Buzgo 981	
Aponogeton lakhonensis	-	-	-	
Aporocactus flagelliformis	ZSS	91 2542 /0	de Vos, J.M. s.n.; 91 2542 /0	
Aporrhiza paniculata	BM	-	Swnowden 1669	
Aposeris foetida	NHMR	-	Balant, M. 41	
Apostasia nuda	K	-	Duangjai 38	
Apostasia wallichii	-	-	-	
Apowollastonia spilanthoides	CANB	CANB 864434	Purdie, R.W. 8851	
Appendicularia thymifolia	NY	-	Michelangeli, F. A. 2589	
Appunia seibertii	GB	-	Cornejo 8884	
Apteranthes tuberculata	MSUN	-	Frank sub. Specks 731	
Apteria aphylla	N	-	Maas, P.J.M. 9890	
Aptosimum indivisum	K	-	Goldblatt, P & Porter, L. 12415	
Apuleia sp.	K	-	Klitgaard and Garcia 66	
Apurimacia boliviana	K	-	J.R. I. Wood et al. 18729	
Aquilaria sinensis	-	-	-	
Aquilegia coerulea	-	-	-	
Aquilegia ecalcarata	K	-	Maurin, O.; Freeth, T. 4429	
Arabidella trisecta	AD	AD239391	K.H. Brewer; I. Dixon 468	
Arabidopsis halleri	-	-	-	
Arabidopsis lyrata	-	-	-	
Arabidopsis thaliana	-	-	-	
Arabis alpina	-	-	-	
Arachis hypogaea	K	-	Banks, D.J. et al. US686.1	
Arachis hypogaea	-	-	-	
Arachnis calcarata	K	K000546474	Lamb, A. 91586	
Aragoa lucidula	K	-	Cuatrecasas, J. ,Ruiz-Teran, L. & Lopez-Figueiras, M. 28077	
Aralia cordata	K	-	RBG Kew Living Collection 2004-3246	
Aratitiyopea lopezii	K	K001393177	Maguire, B. 28276	
Araucaria rulei	-	-	-	
Arawakia weddelliana	K	K000994332	Callejas, R.; Escobar, O.; Arbelaez, A.L. 3418	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000994332
Arbelaezaster ellsworthii	MA	-	Garcia, F. 632.4	
Arberella dressleri	US	US00030022	Dressler, R.L. 4199	
Arboa integrifolia	K	K000994388	Luckow, M. 4284	
Arbutus unedo	K	-	RBG Kew DNA Bank 36698	
Arceuthobium sichuanense	-	-	-	
Archeria racemosa	K	K000993513	Melville, R.; Melville, E.F.; Hamilton, W.M. 6670	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000993513
Archiboehmeria atrata	K	-	Hiep, N.T. et al. 189	
Archidasyphyllum diacanthoides	BCRU	-	Martinez-Suz, L.;  Pellicer, J.; Palazzesi, L. & al. LATAM914-017	
Archidasyphyllum excelsum	-	-	-	
Archidendron clypearia	-	-	-	
Archidendron vaillantii	MEL	MEL 2391884A	Brown, G.K. G.K.149	
Archidendropsis oblonga	K	K000822308	Archer, I. s.n. 	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000822308
Archirhodomyrtus paitensis	K	-	-	
Archirhodomyrtus sp.	K	-	Soewarto, J. 11	
Archontophoenix alexandrae	K	-	MNHN 44635 25	
Arctium nidulans	K	K000493454	Landrein, S. 199	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000493454
Arctopoa eminens	CAN	-	Gillespie, L. 7002	
Arctopus echinatus	K	-	Manning, J.C.;  Reeves, G. 2845	
Arctotheca calendula	K	-	Savolainen, V. & Powell, M.  1801	
Arctotis erosa	PRE	PRE591941	Koekemoer, M. 2765	
Arctous alpina	K	-	Crawley, M.J. 345	
Arcytophyllum setosum	GB	-	Persson & Santillán 3319	
Ardisia humilis	-	-	-	
Ardisia mayumbensis	K	K001208619	Etuge, M. 4665	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K001208619
Ardisia revoluta	-	-	-	
Ardisiandra sibthorpioides	K	K000338622	Etuge, M. 3338	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000338622
Areca mandacanii	K	-	Heatubun, C. 902	
Arenaria globiflora	K	K000723989	Wallich, N. 639	https://apps.kew.org/herbcat/detailsQuery.do?barcode=K000723989
Arenaria serpyllifolia	K	K001275756	Summerhayes,V.S. 1945	
Arenaria serpyllifolia	-	-	-	
Arenga undulatifolia	K	-	Baker, W.J. 989	
Arfeuillea arborescens	K	-	Chase, M.W. 2122	
Argemone mexicana	-	-	-	
Argemone platyceras	K	-	RBG Kew Living Collection 1969-19917	
Argentina anserina	K	K001393251	Crawley, M.J.C. MJC 149	
Argentina anserina	AD	AD99616451	R.J. Bates 40540	
Argentipallium dealbatum	K	-	Ballhardt E.  MV-0238	
Argocoffeopsis eketensis	K	-	Davis, A.P. 3031	
Argophyllum nullumense	BRI	BRI AQ0818556	P.I. Forster 38711	
Argylia radiata	K	K000373976	Dillon, M.; Molau, U.; Matekaitis, P. 3247	
