Taxon,Threat status,EDGE,ED,EDGE_rank,ED_rank
Ceratozamia vovidesii,VU,-1.42,4.85,478,813
Picea polita,VU,-1.42,4.81,479,820
Abies recurvata,VU,-1.43,4.8,480,822
Ceratozamia mexicana,VU,-1.43,4.78,481,828
Cupressus macrocarpa,VU,-1.43,4.78,482,829
Cupressus sargentii,VU,-1.43,4.78,483,830
Juniperus brevifolia,VU,-1.45,4.71,484,842
Halocarpus kirkii,NT,-1.45,58.68,485,24
Macrozamia platyrhachis,VU,-1.45,4.67,486,850
Cycas silvestris,VU,-1.46,4.65,487,854
Cycas ophiolitica,VU,-1.46,4.64,488,859
Acmopyle pancheri,NT,-1.47,57.56,489,27
Zamia herrerae,VU,-1.49,4.5,490,880
Cycas cairnsiana,VU,-1.5,4.46,491,888
Cycas semota,VU,-1.5,4.46,492,889
Macrozamia crassifolia,VU,-1.53,4.35,493,909
Encephalartos barteri,VU,-1.53,4.32,494,915
Juniperus tibetica,VU,-1.55,4.24,495,929
Pherosphaera hookeriana,NT,-1.58,51.44,496,36
Macrozamia humilis,VU,-1.6,4.06,497,951
Encephalartos aplanatus,VU,-1.63,3.9,498,978
Encephalartos ngoyanus,VU,-1.65,3.84,499,992
Abies fabri,VU,-1.66,3.81,500,995
Prumnopitys harmsiana,NT,-1.66,47.56,501,44
Juniperus barbadensis,VU,-1.67,3.77,502,998
Podocarpus lophatus,VU,-1.7,3.66,503,1012
Encephalartos manikensis,VU,-1.71,3.61,504,1016
Podocarpus pallidus,VU,-1.71,3.6,505,1018
Macrozamia conferta,VU,-1.74,3.51,506,1031
Macrozamia machinii,VU,-1.74,3.51,507,1032
Cryptomeria japonica,NT,-1.77,42.59,508,46
Encephalartos ghellinckii,VU,-1.78,3.39,509,1042
Macrozamia cardiacensis,VU,-1.79,3.33,510,1044
Macrozamia occidua,VU,-1.8,3.3,511,1048
Encephalartos marunguensis,VU,-1.83,3.2,512,1066
Encephalartos humilis,VU,-1.84,3.17,513,1071
Encephalartos schaijesii,VU,-1.85,3.15,514,1072
Encephalartos schmitzii,VU,-1.85,3.15,515,1073
Juniperus angosturana,VU,-2,2.7,516,1088
Prumnopitys exigua,NT,-2.02,33.22,517,59
Nothotsuga longibracteata,NT,-2.07,31.66,518,65
Austrocedrus chilensis,NT,-2.1,30.67,519,67
Pseudotsuga macrocarpa,NT,-2.23,26.98,520,79
Cephalotaxus nana,NT,-2.23,26.78,521,81
Keteleeria fortunei,NT,-2.26,26.07,522,84
Falcatifolium falciforme,NT,-2.27,25.79,523,87
Taxus brevifolia,NT,-2.29,25.26,524,89
Falcatifolium sleumeri,NT,-2.38,23.25,525,100
Amentotaxus argotaenia,NT,-2.4,22.75,526,105
Araucaria subulata,NT,-2.4,22.68,527,110
Falcatifolium gruezoi,NT,-2.42,22.17,528,114
Agathis labillardierei,NT,-2.43,22.02,529,117
Agathis atropurpurea,NT,-2.44,21.88,530,118
Agathis microstachya,NT,-2.44,21.88,531,119
Platycladus orientalis,NT,-2.47,21.16,532,130
Dacrycarpus steupii,NT,-2.47,21.08,533,133
Agathis silbae,NT,-2.48,20.95,534,136
